rollout_id,source_file,source_t,horizon,discounted_return,undiscounted_return,mean_reward,max_reward,min_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
71,data/latent/train/1781996068634_forward_00009.npz,167,300,42.589576721191406,109.73796081542969,0.3657931983470917,1.02549147605896,-0.06198478117585182,0.0774284154176712,0.9999998807907104,2.4338563164860716e-08,0.09333333373069763,1.0,1.0
72,data/latent/train/1781996088237_forward_00018.npz,41,300,56.8867073059082,120.98181915283203,0.40327271819114685,1.2477593421936035,-0.05326557531952858,0.07242409884929657,0.9999998807907104,4.718701163142214e-08,0.03333333507180214,1.0,1.0
73,data/latent/train/1781996037878_heuristic_00049.npz,34,300,59.328060150146484,192.28790283203125,0.640959620475769,1.524219036102295,-0.08504581451416016,-0.017997197806835175,0.9999793767929077,1.8189351180808444e-07,0.01666666753590107,1.0,1.0
74,data/latent/train/1781995927298_heuristic_00037.npz,418,300,0.0732448399066925,52.88062286376953,0.17626874148845673,1.454848051071167,-0.11014604568481445,0.0752105712890625,0.9999552369117737,1.3917684782427386e-07,0.04333333298563957,1.0,1.0
75,data/latent/train/1781995836527_heuristic_00027.npz,556,300,-1.1631087064743042,28.436079025268555,0.09478692710399628,1.3179807662963867,-0.11819350719451904,0.34198495745658875,0.999983012676239,1.6247232679234003e-06,0.2199999988079071,1.0,1.0
76,data/latent/train/1781996119373_random_00002.npz,694,300,69.27208709716797,152.01832580566406,0.5067278146743774,2.4523916244506836,-0.11517989635467529,0.08638492971658707,0.9999991655349731,2.9404958468148834e-08,0.05666666850447655,1.0,1.0
77,data/latent/train/1781995614740_heuristic_00003.npz,48,300,67.19192504882812,128.24234008789062,0.42747440934181213,1.873732328414917,-0.1008450984954834,0.0446968711912632,0.9999998807907104,2.2749105710317963e-08,0.0533333346247673,1.0,1.0
78,data/latent/train/1781995651476_heuristic_00007.npz,960,300,15.023727416992188,85.9703140258789,0.286567747592926,1.0682387351989746,-0.11169648170471191,0.031784068793058395,0.9999988079071045,2.135833021554845e-08,0.08666666597127914,1.0,1.0
79,data/latent/train/1781975759513_heuristic_00023.npz,559,300,11.086161613464355,56.94131851196289,0.18980440497398376,0.9413080215454102,-0.1102149486541748,0.09877019375562668,0.9999998807907104,1.9470849821345837e-08,0.07666666805744171,1.0,1.0
80,data/latent/train/1781996037878_heuristic_00049.npz,505,300,13.082411766052246,65.519775390625,0.2183992564678192,1.1300501823425293,-0.1059037446975708,0.1258070468902588,0.9999992847442627,4.0630499853477886e-08,0.006666666828095913,1.0,1.0
