seq_id,source_file,source_t,reward_sum_undiscounted,reward_sum_discounted,reward_mean,reward_max,lambda_t0,lambda_mean_all_steps,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,value_max,value_min,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
137,data/latent/train/1781996010272_heuristic_00046.npz,413,13.972615242004395,12.875131607055664,0.9315077066421509,1.21083402633667,85.2306900024414,86.18327331542969,8.658048629760742,76.57263946533203,84.55237579345703,83.59600067138672,86.70292663574219,91.67446899414062,81.01581573486328,-0.0026359637267887592,0.9999935030937195,0.0,0.7333333492279053,1.0,1.0
138,data/latent/train/1781975583574_heuristic_00004.npz,870,-1.1477484703063965,-1.092386245727539,-0.07651656121015549,-0.002209428697824478,48.087242126464844,52.26530838012695,-0.8657525777816772,48.95299530029297,51.52149200439453,57.11946487426758,52.84096908569336,57.11946487426758,49.5908088684082,-0.5096254348754883,0.9999876618385315,0.0,0.9333333373069763,1.0,1.0
139,data/latent/train/1781995855626_heuristic_00029.npz,347,-1.5696593523025513,-1.4707248210906982,-0.10464395582675934,-0.07307589054107666,52.148929595947266,56.98927307128906,-1.0850638151168823,53.23398971557617,52.80503463745117,62.744422912597656,56.920928955078125,62.744422912597656,51.96294021606445,-0.5144360065460205,0.9997540712356567,9.139378676081833e-08,0.800000011920929,1.0,1.0
140,data/latent/train/1781975804219_heuristic_00028.npz,820,-1.7394113540649414,-1.6234290599822998,-0.1159607544541359,-0.10850310325622559,34.583702087402344,37.6309928894043,-1.1758859157562256,35.75958251953125,37.23944854736328,41.21874237060547,39.050697326660156,44.57958984375,35.30415725708008,-0.2798268496990204,0.9996339082717896,5.781650429526053e-07,0.8666666746139526,1.0,1.0
141,data/latent/train/1781995660611_heuristic_00008.npz,699,-1.769519567489624,-1.6506768465042114,-0.11796797066926956,-0.11742842197418213,20.485727310180664,22.169477462768555,-1.1919364929199219,21.677658081054688,18.15967559814453,24.481399536132812,23.60700035095215,24.876937866210938,18.15967559814453,0.5650610327720642,0.999968409538269,3.973643192267673e-09,0.5333333611488342,1.0,1.0
142,data/latent/train/1781995605201_heuristic_00002.npz,108,3.237204074859619,2.903212547302246,0.21581360697746277,0.5191220045089722,66.26504516601562,69.62564086914062,1.6761292219161987,64.58889770507812,67.56946563720703,72.25446319580078,71.4839859008789,73.09850311279297,67.56946563720703,-0.5362164378166199,0.9932261109352112,0.00041165153379552066,0.9333333373069763,1.0,1.0
143,data/latent/train/1781995845712_heuristic_00028.npz,252,-0.6199206113815308,-0.6155775785446167,-0.04132803902029991,0.07605171203613281,57.717018127441406,63.08344268798828,-0.5771446824073792,58.29417419433594,52.1080436706543,68.3932113647461,62.44987487792969,68.3932113647461,52.1080436706543,-0.5947887301445007,0.990653395652771,8.15153107396327e-05,0.8666666746139526,0.9333333373069763,1.0
144,data/latent/train/1781995772209_heuristic_00020.npz,979,-1.7846651077270508,-1.6654077768325806,-0.11897767335176468,-0.11823761463165283,16.26222038269043,17.81368637084961,-1.2047044038772583,17.4669246673584,19.187803268432617,19.89873504638672,19.20838165283203,20.352447509765625,16.641403198242188,0.5962685942649841,0.9999634623527527,2.1855036891338386e-08,0.5333333611488342,1.0,1.0
145,data/latent/train/1781995614740_heuristic_00003.npz,47,13.807877540588379,12.850016593933105,0.9205251932144165,1.0025293827056885,99.02984619140625,100.32457733154297,9.161250114440918,89.86859893798828,94.17610931396484,100.7946548461914,99.41126251220703,101.63968658447266,92.67772674560547,-0.08804547041654587,0.9998741745948792,7.947286384535346e-09,0.800000011920929,1.0,1.0
146,data/latent/train/1781995697152_heuristic_00012.npz,312,-1.578108549118042,-1.4757291078567505,-0.10520723462104797,-0.0731055736541748,47.932621002197266,51.40433883666992,-1.0790464878082275,49.01167297363281,53.2572135925293,55.66422653198242,54.06708526611328,57.25129318237305,50.84375,-0.26227185130119324,0.9999229907989502,2.3841858265427618e-08,0.7333333492279053,1.0,1.0
147,data/latent/train/1781975767951_heuristic_00024.npz,25,4.608826160430908,4.280566692352295,0.3072550892829895,0.40226125717163086,71.83141326904297,76.06884002685547,3.0369393825531006,68.79446411132812,65.06561279296875,80.34040069580078,73.86447143554688,80.34040069580078,65.06561279296875,0.20922285318374634,0.9999932646751404,7.947286384535346e-09,0.2666666805744171,1.0,1.0
148,data/latent/train/1781995762779_heuristic_00019.npz,993,2.028801679611206,1.8453755378723145,0.135253444314003,0.22123336791992188,59.7465705871582,64.23048400878906,1.1518255472183228,58.59474182128906,55.901058197021484,68.82549285888672,62.53192901611328,68.82549285888672,55.901058197021484,0.9999807476997375,0.9999921321868896,0.0,1.0,1.0,1.0
149,data/latent/train/1781975583574_heuristic_00004.npz,967,-1.558356523513794,-1.4490997791290283,-0.10389043390750885,-0.08719074726104736,30.520038604736328,32.80870056152344,-1.0286020040512085,31.54863929748535,27.2781925201416,35.54245376586914,34.68031692504883,37.235923767089844,27.2781925201416,0.5049825310707092,0.9998928904533386,7.967154260768439e-07,0.13333334028720856,1.0,1.0
150,data/latent/train/1781975750371_heuristic_00022.npz,538,-1.4506950378417969,-1.3557928800582886,-0.09671299904584885,-0.052015308290719986,51.319122314453125,56.10954666137695,-0.9902248978614807,52.309349060058594,52.44091033935547,61.929161071777344,55.73931884765625,61.929161071777344,51.02519607543945,0.006006733514368534,0.9995935559272766,1.7364819768772577e-06,0.7333333492279053,1.0,1.0
