steer,gas,brake
0.99995595,0.9999436,2.9802322e-08
-1.0,0.99917144,0.00016912818
-0.9999999,1.0,0.0
-0.9907537,0.99999994,0.0
0.99999994,0.9919143,4.607439e-05
1.0,0.99999404,0.0
0.9999994,0.99999464,0.0
-0.99999994,0.9999999,0.0
-0.99995023,0.99998724,2.9802322e-08
0.6318031,0.9990028,1.001358e-05
-0.98764855,0.9999999,0.0
-1.0,1.0,0.0
-0.9963617,0.9999995,0.0
-1.0,0.99999565,5.9604645e-08
1.0,0.9794175,7.4207783e-06
0.6299843,0.9999993,0.0
-1.0,0.99999833,0.0
-0.9999969,0.9999648,2.0861626e-07
0.99782926,0.999948,2.9802322e-08
-1.0,0.99976116,3.3915043e-05
-1.0,0.99999994,0.0
1.0,0.9993682,0.0
-1.0,0.9999994,0.0
-0.99998474,0.9999998,0.0
-0.99999994,0.9999999,0.0
-0.5352932,0.9999994,0.0
-0.99945325,0.99993014,4.7683716e-07
-0.99999934,0.9999994,0.0
-1.0,0.99997413,1.04010105e-05
-0.9999998,0.9999999,0.0
1.0,0.99751425,5.662441e-07
-1.0,1.0,0.0
1.0,0.9956019,5.364418e-07
-1.0,0.9999813,2.0861626e-07
-1.0,0.9999949,8.940697e-08
0.87142724,0.9988657,1.347065e-05
-0.99999994,0.9999999,0.0
0.99999994,0.99997985,0.0
0.69014466,0.9999993,0.0
-1.0,0.99999994,0.0
-1.0,0.9999999,0.0
1.0,0.99829125,5.364418e-07
-1.0,0.99999577,2.9802322e-08
0.96383554,0.99999934,0.0
0.39073777,0.99999803,0.0
-1.0,0.99999696,0.0
-0.99999946,0.99999994,0.0
0.9999977,0.99998665,0.0
-1.0,0.99997324,5.066395e-07
0.9999912,0.99996245,0.0
-0.923169,0.99992764,2.0861626e-07
-0.99999446,0.9999705,2.0861626e-07
0.9983442,0.9976224,2.0772219e-05
1.0,0.99852735,3.5762787e-07
-1.0,0.99940336,8.4877014e-05
